Country Name,Country Code,Series Name,Series Code,Year,Value
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2006,7350.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2007,8700.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2008,9950.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2009,9880.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2010,10720.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2011,11860.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2012,14170.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2013,15080.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2014,14690.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,14080.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2016,13310.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2017,13200.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2018,14460.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2019,14690.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2020,12960.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2021,14790.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2022,15470.00
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2023,15800.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1970,340.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1971,370.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1972,410.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1973,470.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1974,560.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1975,610.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1976,640.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1977,710.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1978,880.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1979,1090.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1980,1290.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1981,1390.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1982,1370.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1983,1320.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1984,1310.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1985,1240.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1986,1240.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1987,1270.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1988,1330.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1989,1280.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1990,1350.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1991,1410.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1992,1600.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1993,1780.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1994,2080.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1995,2390.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1996,2580.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1997,2700.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1998,2600.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1999,2370.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2000,2370.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2001,2360.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2002,2410.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2003,2410.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2004,2650.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2005,3030.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2006,3540.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2007,4170.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2008,4770.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2009,5200.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2010,5690.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2011,6370.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2012,7340.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2013,8010.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2014,8280.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,7420.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2016,6560.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2017,6030.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2018,6350.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2019,6630.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2020,5850.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2021,6260.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2022,6640.00
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2023,6810.00
Ecuador,ECU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1970,510.00
Ecuador,ECU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1971,500.00
Ecuador,ECU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1972,500.00
Ecuador,ECU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1973,590.00
